nominal_head_form,nominal_head_upos,nominal_head_deprel,head_is_plural,modifier_is_plural,nominal_head_ī,nominal_head_consonant_ending,modifier_consonant_ending,head_frequency,modifier_frequency,modifier_form,modifier_upos,modifier_deprel,distance,position,np_depth,num_dependents_head,num_dependents_modifier,has_anchor_dependent,modifier_is_propn,ezafe_label,relative_position_in_sent,head_feats,modifier_feats,source_file,nmod_count,amod_count,ezafe_like_lemma_between
mardōmān,NOUN,nmod,1,1,0,1,1,2713,2716,mardōmān,NOUN,nmod,0,2,1,1,1,0,0,0,0.0,False,False,AOD-K20-01_mptf.conllu,1,0,0
kār,NOUN,nmod,0,0,0,1,1,1414,1416,kār,NOUN,nmod,0,2,1,1,1,0,0,0,0.0,True,True,AOD-K20-01_mptf.conllu,1,0,0
anāgīh,NOUN,nmod,0,0,0,1,1,365,366,anāgīh,NOUN,nmod,0,2,1,1,1,0,0,0,0.0,False,False,AOD-K20-01_mptf.conllu,1,0,0
xwēš,PRON,nmod,0,0,0,1,1,2327,2375,xwēš,PRON,nmod,0,2,1,1,1,0,0,0,0.0,False,False,AOD-K20-01_mptf.conllu,1,0,0
xēšm,NOUN,nmod,0,0,0,1,1,128,128,xēšm,NOUN,nmod,0,2,1,1,1,0,0,0,0.0,False,False,AOD-K20-01_mptf.conllu,1,0,0
rāh,NOUN,nmod,0,0,0,1,1,587,587,rāh,NOUN,nmod,0,2,1,1,1,0,0,0,0.0,False,False,AOD-K20-01_mptf.conllu,1,0,0
wahišt,PROPN,nmod,0,0,0,1,1,170,170,wahišt,PROPN,nmod,0,2,1,1,1,0,1,0,0.0,False,False,AOD-K20-01_mptf.conllu,1,0,0
tis,NOUN,nmod,1,1,0,1,1,1502,1505,tis,NOUN,nmod,0,2,1,1,1,0,0,0,0.0,False,False,AOD-K20-01_mptf.conllu,1,0,0
kasān,PRON,nmod,1,1,0,1,1,1086,1092,kasān,PRON,nmod,0,2,1,1,1,0,0,0,0.0,False,False,AOD-K20-01_mptf.conllu,1,0,0
pādixšāyān,NOUN,nmod,1,1,0,1,1,17,910,pādixšāyān,NOUN,nmod,0,2,1,1,1,0,0,0,0.0,False,False,AOD-K20-01_mptf.conllu,1,0,0
murdagān,NOUN,nmod,0,0,0,1,1,12,43,murdagān,NOUN,nmod,0,2,1,1,1,0,0,0,0.0,True,True,AOD-K20-01_mptf.conllu,1,0,0
gāh,NOUN,nmod,0,0,0,1,1,744,746,gāh,NOUN,nmod,0,2,1,1,1,0,0,0,0.0,False,False,AOD-K20-01_mptf.conllu,1,0,0
uzwān,NOUN,nmod,0,0,0,1,1,98,98,uzwān,NOUN,nmod,0,2,1,1,1,0,0,0,0.0,False,False,AOD-K20-01_mptf.conllu,1,0,0
xēšm,NOUN,nmod,0,0,0,1,1,128,128,xēšm,NOUN,nmod,0,2,1,1,1,0,0,0,0.0,False,False,AOD-K20-01_mptf.conllu,1,0,0
wehīh,NOUN,nmod,0,0,0,1,1,339,1864,wehīh,NOUN,nmod,0,2,1,1,1,0,0,0,0.0,False,False,AOD-K20-01_mptf.conllu,1,0,0
wattarīh,NOUN,nmod,0,0,0,1,1,210,211,wattarīh,NOUN,nmod,0,2,1,1,1,0,0,0,0.0,False,False,AOD-K20-01_mptf.conllu,1,0,0
xrad,NOUN,nmod,0,0,0,1,1,654,654,xrad,NOUN,nmod,0,2,1,1,1,0,0,0,0.0,False,False,AOD-K20-01_mptf.conllu,1,0,0
xrad,NOUN,nmod,0,0,0,1,1,654,654,xrad,NOUN,nmod,0,2,1,1,1,0,0,0,0.0,False,False,AOD-K20-01_mptf.conllu,1,0,0
āz,NOUN,nmod,0,0,0,1,1,143,149,āz,NOUN,nmod,0,2,1,1,1,0,0,0,0.0,False,False,AOD-K20-01_mptf.conllu,1,0,0
paymān,NOUN,nmod,0,0,0,1,1,276,276,paymān,NOUN,nmod,0,2,1,1,1,0,0,0,0.0,False,False,AOD-K20-01_mptf.conllu,1,0,0
mēnōy,NOUN,nmod,0,0,0,0,0,1405,1550,mēnōy,NOUN,nmod,0,2,1,1,1,0,0,0,0.0,False,False,AOD-K20-01_mptf.conllu,1,0,0
farrahsrōš,PROPN,nsubj,0,0,0,1,1,2,3,wahrāmān,PROPN,nmod,0,1,2,1,1,0,1,1,0.5,False,False,Col_RFS_TD2-TD2-01_mptf.conllu,1,0,0
sāl,NOUN,obl,0,0,0,1,1,909,14,pārsīg,ADJ,amod,1,1,2,3,1,0,0,1,0.75,False,False,Col_RFS_TD2-TD2-01_mptf.conllu,0,1,0
sāl,NOUN,obl,0,0,0,1,1,909,20,yazdgerd,PROPN,nmod,3,1,6,4,2,0,1,0,1.0,False,False,Col_RFS_TD2-TD2-01_mptf.conllu,1,0,0
yazdgerd,PROPN,nmod,0,0,0,1,0,19,38,bay,NOUN,nmod,0,2,5,2,1,0,0,0,0.0,False,False,Col_RFS_TD2-TD2-01_mptf.conllu,1,0,0
yazdgerd,PROPN,nmod,0,0,0,1,1,19,155,šāh,NOUN,appos,1,1,5,2,3,0,0,1,0.0,False,False,Col_RFS_TD2-TD2-01_mptf.conllu,1,0,0
šāh,NOUN,appos,0,1,0,1,1,152,155,šāhān,NOUN,nmod,0,2,4,3,0,0,0,0,0.0,False,False,Col_RFS_TD2-TD2-01_mptf.conllu,1,0,0
nāfag,NOUN,conj:appos,0,0,0,1,0,27,51,husraw,PROPN,nmod,1,1,3,1,4,0,1,1,0.0,False,False,Col_RFS_TD2-TD2-01_mptf.conllu,1,0,0
husraw,PROPN,nmod,0,0,0,0,1,36,155,šāh,NOUN,appos,1,1,2,4,2,1,0,1,0.0,False,False,Col_RFS_TD2-TD2-01_mptf.conllu,1,0,0
husraw,PROPN,nmod,0,0,0,0,1,36,16,ohrmazdān,PROPN,nmod,2,1,2,4,1,1,1,1,0.0,False,False,Col_RFS_TD2-TD2-01_mptf.conllu,1,0,0
šāh,NOUN,appos,0,1,0,1,1,152,155,šāhān,NOUN,nmod,0,2,1,2,0,0,0,0,0.0,False,False,Col_RFS_TD2-TD2-01_mptf.conllu,1,0,0
ēn,PRON,obj,0,0,0,1,1,696,11,azabarnibišt,ADJ,amod,1,1,3,3,1,0,0,0,0.2,False,True,Col_RFS_TD2-TD2-01_mptf.conllu,0,1,0
spandyād,PROPN,nsubj,0,0,0,1,1,24,176,hērbed,NOUN,nmod,0,2,2,2,0,0,0,0,0.4,False,False,Col_RFS_TD2-TD2-01_mptf.conllu,2,0,0
spandyād,PROPN,nsubj,0,0,0,1,1,24,1,farroxburzēn,PROPN,nmod,0,1,2,2,1,0,1,1,0.4,False,False,Col_RFS_TD2-TD2-01_mptf.conllu,2,0,0
pursišnīhā,NOUN,root,1,0,0,0,1,369,337,dar,NOUN,nmod,1,1,4,3,1,0,0,0,0.0,False,False,DD-K35-01_mptf.conllu,1,0,0
mihrxwaršēd,PROPN,nsubj,0,0,0,1,1,2,2,ādurmahān,PROPN,nmod,0,1,2,1,1,0,1,1,0.25,False,False,DD-K35-01_mptf.conllu,1,0,0
mānuščihr,PROPN,obl,0,0,0,1,1,109,36,anōšagruwān,ADJ,amod,0,2,1,3,0,0,0,0,0.5,False,False,DD-K35-01_mptf.conllu,1,1,0
mānuščihr,PROPN,obl,0,0,0,1,1,109,6,ǰuwānǰamān,PROPN,nmod,0,1,1,3,0,0,1,0,0.5,False,False,DD-K35-01_mptf.conllu,1,1,0
passox,NOUN,obj,0,0,0,1,1,558,18258,=iš,PRON,nmod,0,2,1,2,0,0,0,0,1.0,False,False,DD-K35-01_mptf.conllu,1,0,0
nām,NOUN,root,0,0,0,1,1,528,1006,dādār,NOUN,nmod,3,1,6,4,5,0,0,0,0.0,False,True,DD-K35-01_mptf.conllu,1,0,0
dādār,NOUN,nmod,0,0,0,1,1,998,3242,ohrmazd,PROPN,appos,0,1,5,5,0,0,1,0,0.0,True,False,DD-K35-01_mptf.conllu,1,0,0
dādār,NOUN,nmod,0,1,0,1,1,998,153,wispān,PRON,nmod,1,1,5,5,0,0,0,0,0.0,True,False,DD-K35-01_mptf.conllu,1,0,0
yazadān,NOUN,conj:nmod,1,1,0,1,1,1403,1550,mēnōyān,ADJ,nmod,0,1,3,3,1,0,0,1,0.0,False,False,DD-K35-01_mptf.conllu,1,0,0
yazadān,NOUN,conj:nmod,1,1,0,1,1,1403,1135,gētīyān,ADJ,nmod,0,1,2,2,1,0,0,1,0.0,False,False,DD-K35-01_mptf.conllu,1,0,0
dahišn,NOUN,obl,0,0,0,1,1,636,2375,xwēš,PRON,nmod,0,1,1,2,0,0,0,0,1.0,True,False,DD-K35-01_mptf.conllu,1,0,0
hudēnān,NOUN,iobj,1,1,0,1,1,94,5,pursīdārān,NOUN,nmod,1,1,5,2,3,0,0,1,0.25,False,True,DD-K35-01_mptf.conllu,1,0,1
pursīdārān,NOUN,nmod,1,0,0,1,1,5,1907,ēd,PRON,nmod,0,2,4,3,0,0,0,0,0.0,True,False,DD-K35-01_mptf.conllu,2,0,0
pursīdārān,NOUN,nmod,1,0,0,1,1,5,344,nērōg,NOUN,nmod,2,1,4,3,6,0,0,0,0.0,True,False,DD-K35-01_mptf.conllu,2,0,0
nērōg,NOUN,nmod,0,0,0,1,1,339,15,stāyišnīg,ADJ,amod,0,2,3,6,0,0,0,0,0.0,False,False,DD-K35-01_mptf.conllu,1,1,0
nērōg,NOUN,nmod,0,0,0,1,1,339,177,čihr,NOUN,nmod,0,1,3,6,1,0,0,1,0.0,False,False,DD-K35-01_mptf.conllu,1,1,0
zōr,NOUN,conj:nmod,0,1,0,1,1,283,153,ǰawāhir,NOUN,nmod,0,1,2,2,1,0,0,1,0.0,False,False,DD-K35-01_mptf.conllu,1,0,0
