,No ezafe & Head Initial,No ezafe & Head Final,With ezafe & Head Initial,With ezafe & Head Final
distance,0.08804642824625135,0.06001877303926334,0.09776089264387493,0.05498305992427492
nmod_count,0.03893883678229924,0.03166673173967596,0.03554519471290829,0.03159543550875526
modifier_deprel_nmod,0.026738392399964207,0.02249221602626606,0.020564121938925976,0.02231898451487851
num_dependents_modifier,0.16637312407400376,0.1767811758857108,0.19331359666456926,0.17416412258822195
num_dependents_head,0.24486920777514667,0.283093505407282,0.17731549004986774,0.22305085377840744
has_anchor_dependent,0.04973315022067223,0.04116620888198822,0.1060268191395222,0.07238437486423627
modifier_upos_PRON,0.018515883999893915,0.01946190764834554,0.01429531262112862,0.0262521947170842
modifier_deprel_appos,0.04678526894064806,0.042701582889099594,0.03971116710882353,0.03978751906123009
modifier_deprel_flat,0.015587917290082166,0.02279460331258229,0.007890701906358476,0.016156542839412445
relative_position_in_sent,0.033219155189747315,0.03209203146747148,0.031696226868308315,0.041853099934584886
nominal_head_deprel_nsubj,0.03336307528321949,0.045518326346920726,0.019205660100277744,0.03562892361428547
np_depth,0.08096423475317215,0.07325597361418926,0.1095611924082233,0.10007789805391343
