Feature,Selected in Folds (Ezafe),Selected in Folds (Position),N Folds
head_upos_NOUN,5,5,5
head_upos_PRON,0,2,5
head_upos_PROPN,5,5,5
head_deprel_acl,0,0,5
head_deprel_acl:cleft,0,0,5
head_deprel_acl:relcl,0,0,5
head_deprel_advcl,0,0,5
head_deprel_amod,0,0,5
head_deprel_appos,2,5,5
head_deprel_apposcl,0,0,5
head_deprel_ccomp,0,0,5
head_deprel_compound:lvc,0,0,5
head_deprel_compound:redup,0,0,5
head_deprel_conj,5,5,5
head_deprel_conj:amod,0,0,5
head_deprel_conj:appos,0,0,5
head_deprel_conj:nmod,0,0,5
head_deprel_csubj,0,0,5
head_deprel_dislocated,0,0,5
head_deprel_dislocated:res,0,0,5
head_deprel_dislocated:topic,0,0,5
head_deprel_flat,0,0,5
head_deprel_iobj,0,0,5
head_deprel_nmod,5,5,5
head_deprel_nsubj,4,5,5
head_deprel_nsubj:outer,0,0,5
head_deprel_nsubj:pass,0,0,5
head_deprel_obj,0,0,5
head_deprel_obl,5,5,5
head_deprel_obl:lmod,0,0,5
head_deprel_obl:tmod,0,0,5
head_deprel_orphan,0,0,5
head_deprel_parataxis,0,0,5
head_deprel_root,0,3,5
head_deprel_vocative,0,0,5
head_deprel_xcomp,0,0,5
modifier_upos_ADJ,5,5,5
modifier_upos_ADP,0,0,5
modifier_upos_ADV,0,0,5
modifier_upos_DET,0,0,5
modifier_upos_NOUN,5,5,5
modifier_upos_NUM,0,0,5
modifier_upos_PRON,5,5,5
modifier_upos_PROPN,0,5,5
modifier_upos_X,0,0,5
modifier_upos__None,0,0,5
modifier_deprel_amod,5,5,5
modifier_deprel_appos,5,5,5
modifier_deprel_flat,5,5,5
modifier_deprel_nmod,5,5,5
source_file_AOD-K20-01_mptf.conllu,0,0,5
source_file_Col_RFS_TD2-TD2-01_mptf.conllu,0,0,5
source_file_DD-K35-01_mptf.conllu,0,0,5
source_file_DD-TD4a-01_mptf.conllu,0,0,5
source_file_DMX-K43a-01_mptf.conllu,5,5,5
source_file_DMX-L19-01_mptf.conllu,5,5,5
source_file_Dk3-B-01_mptf.conllu,0,0,5
source_file_Dk5-B-01_mptf.conllu,0,4,5
source_file_Dk7-B-01_mptf.conllu,0,0,5
source_file_GA-K20-01_mptf.conllu,0,0,5
source_file_GBd-TD1-01_mptf.conllu,0,5,5
source_file_MHD-MHDC-01_mptf.conllu,5,5,5
source_file_MYF-K20-01_mptf.conllu,5,5,5
source_file_NM-K35-01_mptf.conllu,0,0,5
source_file_NM-TD4a-01_mptf.conllu,0,0,5
source_file_PY-Pt4-01_mptf.conllu,5,5,5
source_file_RAF-TD2-01_mptf.conllu,0,0,5
source_file_RFS-TD2-01_mptf.conllu,0,0,5
source_file_RThQA-TD2-01_mptf.conllu,0,0,5
source_file_WZ_K35.conllu,1,5,5
source_file_ZPJ-TD2-01_mptf.conllu,0,0,5
source_file_ZWY-K20-01_mptf.conllu,0,0,5
source_file_ZWY-K43a-01_mptf.conllu,0,0,5
head_is_plural,5,4,5
modifier_is_plural,0,0,5
head_ī,0,0,5
head_consonant_ending,0,0,5
modifier_consonant_ending,0,0,5
head_frequency,5,5,5
modifier_frequency,5,5,5
distance,5,5,5
np_depth,5,5,5
num_dependents_head,5,5,5
num_dependents_modifier,5,5,5
has_anchor_dependent,5,5,5
modifier_is_propn,0,5,5
relative_position_in_sent,5,5,5
head_feats,0,0,5
modifier_feats,0,0,5
nmod_count,5,5,5
amod_count,5,5,5
ezafe_like_lemma_between,0,0,5
