Class,Feature,Importance,Mean_SHAP,Direction
No ezafe & Head Final,modifier_upos_NOUN,0.247588718252049,-0.11196497320575818,Negative
No ezafe & Head Final,modifier_upos_PRON,0.21915170579684942,-0.08159279217098275,Negative
No ezafe & Head Final,nominal_head_deprel_vocative,0.1278704121415991,-0.006931257126643577,Negative
No ezafe & Head Final,nominal_head_deprel_obl,0.05903184797727288,-0.008714530327879262,Negative
No ezafe & Head Final,modifier_upos_ADJ,0.05449278862070348,0.0003274864611800249,Positive
No ezafe & Head Final,nominal_head_deprel_conj,0.051033200085109316,0.08369438399323335,Positive
No ezafe & Head Final,nominal_head_deprel_nmod,0.04619875399828644,-0.11817072863868137,Negative
No ezafe & Head Final,modifier_upos_PROPN,0.03434094715426248,0.0027364862040262414,Positive
No ezafe & Head Final,nominal_head_deprel_acl:relcl,0.030654861119870886,-0.0033698715909892822,Negative
No ezafe & Head Final,nominal_head_deprel_dislocated:topic,0.022656673018859326,0.032148926917994314,Positive
No ezafe & Head Final,nominal_head_deprel_obj,0.02258043612093299,0.009383192897466662,Positive
No ezafe & Head Final,modifier_deprel_amod,0.021442330214403216,0.02329451401552219,Positive
No ezafe & Head Final,nominal_head_upos_NOUN,0.017320601592053494,0.0027346586617125832,Positive
No ezafe & Head Final,nominal_head_deprel_nsubj,0.01577644673237213,-0.12313340891021869,Negative
No ezafe & Head Final,nominal_head_upos_PROPN,0.01563808849927901,-0.0024425935625335877,Negative
No ezafe & Head Final,nominal_head_upos_PRON,0.014222188676096847,-0.014457279061606928,Negative
No ezafe & Head Initial,modifier_upos_NOUN,0.23796104086369257,-0.053254962540045,Negative
No ezafe & Head Initial,modifier_upos_PRON,0.233461254438394,-0.09557129410120241,Negative
No ezafe & Head Initial,nominal_head_deprel_vocative,0.12876370323520175,-0.010242280847298847,Negative
No ezafe & Head Initial,nominal_head_deprel_obl,0.06936612156992052,0.11390327269840166,Positive
No ezafe & Head Initial,modifier_upos_ADJ,0.05758760833139856,0.00016549411766239976,Positive
No ezafe & Head Initial,nominal_head_deprel_nmod,0.04394183195480256,0.19684406315664513,Positive
No ezafe & Head Initial,modifier_upos_PROPN,0.03536261186891944,-0.003190261958506649,Negative
No ezafe & Head Initial,nominal_head_deprel_conj,0.031355628857324756,-0.07618365106207667,Negative
No ezafe & Head Initial,nominal_head_deprel_acl:relcl,0.02879466164206073,0.017067671178152985,Positive
No ezafe & Head Initial,nominal_head_deprel_dislocated:topic,0.027456891742079898,-0.0873357108994549,Negative
No ezafe & Head Initial,nominal_head_deprel_obj,0.025090241103657318,-0.009387830383359627,Negative
No ezafe & Head Initial,modifier_deprel_amod,0.02150055017990411,-0.03231340823903433,Negative
No ezafe & Head Initial,nominal_head_upos_NOUN,0.017157662416717023,-0.002394722234572339,Negative
No ezafe & Head Initial,nominal_head_upos_PROPN,0.016010763906162153,-0.007368454519189958,Negative
No ezafe & Head Initial,nominal_head_upos_PRON,0.014428945383690751,0.009474592720348876,Positive
No ezafe & Head Initial,nominal_head_deprel_nsubj,0.011760482506073935,0.1435813195751934,Positive
With ezafe & Head Final,modifier_upos_PRON,0.4341337517092367,0.3968285307558728,Positive
With ezafe & Head Final,modifier_upos_NOUN,0.2210922970591015,0.04977135682494123,Positive
With ezafe & Head Final,nominal_head_deprel_vocative,0.08951010146701845,-0.0006389824617529027,Negative
With ezafe & Head Final,nominal_head_deprel_obl,0.05118884271430879,-0.04865322483378283,Negative
With ezafe & Head Final,modifier_upos_ADJ,0.048917960844045656,-0.002643246418982435,Negative
With ezafe & Head Final,modifier_deprel_amod,0.023202036837499548,0.004464930307331247,Positive
With ezafe & Head Final,nominal_head_deprel_nmod,0.022912623939066856,-0.049081517522828404,Negative
With ezafe & Head Final,nominal_head_deprel_dislocated:topic,0.02123290819867164,0.03663483158375095,Positive
With ezafe & Head Final,modifier_upos_PROPN,0.019017510891824303,0.006883988807120934,Positive
With ezafe & Head Final,nominal_head_deprel_acl:relcl,0.018858883788132077,-0.01989545837095245,Negative
With ezafe & Head Final,nominal_head_upos_PROPN,0.014878091634488123,0.015801062806233092,Positive
With ezafe & Head Final,nominal_head_upos_PRON,0.009748219540231204,-0.02144466037190108,Negative
With ezafe & Head Final,nominal_head_upos_NOUN,0.009442377677557864,0.0018510945949573089,Positive
With ezafe & Head Final,nominal_head_deprel_obj,0.009136800156281289,-0.002868933589793518,Negative
With ezafe & Head Final,nominal_head_deprel_conj,0.0057787964160699486,0.0038628741393299253,Positive
With ezafe & Head Final,nominal_head_deprel_nsubj,0.0009487971264660242,-0.004637675666816967,Negative
With ezafe & Head Initial,modifier_upos_PRON,0.30947228722508224,-0.2196644444836877,Negative
With ezafe & Head Initial,modifier_upos_NOUN,0.24339185022416948,0.11544857892086187,Positive
With ezafe & Head Initial,nominal_head_deprel_vocative,0.12094867798505134,0.01781252043569532,Positive
With ezafe & Head Initial,nominal_head_deprel_obl,0.08960790956732982,-0.05653551753673956,Negative
With ezafe & Head Initial,modifier_upos_ADJ,0.05632717913601527,0.002150265840140038,Positive
With ezafe & Head Initial,modifier_upos_PROPN,0.03546471000000582,-0.006430213052640533,Negative
With ezafe & Head Initial,nominal_head_deprel_nmod,0.021791337432669717,-0.029591816995135484,Negative
With ezafe & Head Initial,nominal_head_deprel_dislocated:topic,0.02162180386829784,0.018551952397709695,Positive
With ezafe & Head Initial,nominal_head_deprel_acl:relcl,0.019131988641761213,0.006197658783788755,Positive
With ezafe & Head Initial,modifier_deprel_amod,0.015985358519655442,0.0045539639161808875,Positive
With ezafe & Head Initial,nominal_head_upos_PROPN,0.015826136176850643,-0.005990014724509534,Negative
With ezafe & Head Initial,nominal_head_deprel_obj,0.013148510282359296,0.0028735710756864767,Positive
With ezafe & Head Initial,nominal_head_upos_NOUN,0.012620842430535585,-0.0021910310220975516,Negative
With ezafe & Head Initial,nominal_head_upos_PRON,0.010991848760904687,0.026427346713159106,Positive
With ezafe & Head Initial,nominal_head_deprel_conj,0.010128299162587853,-0.011373607070486642,Negative
With ezafe & Head Initial,nominal_head_deprel_nsubj,0.003541260586723775,-0.015810234998157653,Negative
